Ticker,Name,ISIN,Currency,MarketPlace,List/segment,Average Price,Open Price,High Price,Low Price,Last close Price,Last Price,Price Change(%),Best bid,Best ask,Trades,Volume,Turnover,Industry,Supersector
AMG1L,Amber Grid,LT0000128696,EUR,VLN,Baltic Secondary List,0.999586,0.99,1.01,0.99,0.99,1.01,2.02,1.01,1.01,20,8391,8387.52,Energy,Energy
APG1L,Apranga,LT0000102337,EUR,VLN,Baltic Main List,1.71635,1.73,1.73,1.705,1.74,1.71,-1.72,1.71,1.715,94,23650,40591.8,Consumer Discretionary,Retail
ARC1T,Arco Vara,EE3100034653,EUR,TLN,Baltic Main List,1.30117,1.32,1.32,1.3,1.3,1.3,,1.3,1.3,8,120,156.14,Real Estate,Real Estate
AUG1L,AUGA group,LT0000127466,EUR,VLN,Baltic Main List,0.441941,0.44,0.444,0.44,0.442,0.444,0.45,0.442,0.444,30,19880,8785.78,Consumer Staples ,"Food, Beverage and Tobacco "
BAL1R,Latvijas balzams,LV0000100808,EUR,RIG,Baltic Secondary List,9.00694,8.95,9.05,8.95,9,9.05,0.56,9,9.1,6,36,324.25,Consumer Staples ,"Food, Beverage and Tobacco "
BLT1T,Baltika,EE3100145616,EUR,TLN,Baltic Main List,0.389545,0.39,0.397,0.38,0.385,0.395,2.6,0.395,0.395,61,14838,5780.07,Consumer Discretionary,Consumer Products and Services
BTE1R,Baltic Technology Ventures,LV0000101772,EUR,RIG,First North Baltic Share List,0.23811,0.256,0.256,0.22,0.222,0.245,10.36,0.22,0.245,18,2040,485.745,Telecommunications,Telecommunications
CPA1T,Coop Pank,EE3100007857,EUR,TLN,Baltic Main List,1.24228,1.25,1.25,1.23,1.246,1.236,-0.8,1.236,1.238,298,78146,97079.2,Financials,Banks
DPK1R,Ditton pievadķēžu rūpnīca,LV0000100212,EUR,RIG,Baltic Secondary List,0.154,0.154,0.154,0.154,0.154,0.154,,0.153,0.154,5,58,8.932,Basic Materials,Basic Resources
EEG1T,Ekspress Grupp,EE3100016965,EUR,TLN,Baltic Main List,0.784879,0.8,0.805,0.77,0.8,0.8,,0.79,0.8,31,4869,3821.57,Consumer Discretionary,Media
EFT1T,EfTEN Real Estate Fund III,EE3100127242,EUR,TLN,Baltic Main List,19.3564,19.4,19.4,19.3,19.3,19.4,0.52,19.3,19.4,16,688,13317.2,Financials,Financial Services
EWA1L,East West Agro,LT0000132060,EUR,VLN,First North Baltic Share List,6.45,6.5,6.5,6.4,6.5,6.4,-1.54,5.45,6.4,2,2,12.9,Industrials,Industrial Goods and Services
FRGTE,Frigate,LV0000101665,EUR,RIG,First North Baltic Share List,,,,,,,,,,,,,Financials,Financial Services
GRD1R,Grindeks,LV0000100659,EUR,RIG,Baltic Main List,13.7349,13.85,13.85,13.65,13.65,13.65,,13.65,13.7,11,241,3310.1,Health Care,Health Care
GRG1L,Grigeo,LT0000102030,EUR,VLN,Baltic Main List,1.42479,1.39,1.48,1.39,1.39,1.445,3.96,1.445,1.445,81,71077,101270,Basic Materials,Basic Resources
GZE1R,Latvijas Gāze,LV0000100899,EUR,RIG,Baltic Secondary List,10.7,10.7,10.7,10.7,10.6,10.7,0.94,10.6,10.7,4,55,588.5,Utilities,Utilities
HAE1T,Harju Elekter,EE3100004250,EUR,TLN,Baltic Main List,5.48943,5.5,5.5,5.46,5.5,5.48,-0.36,5.46,5.48,128,4270,23439.9,Industrials,Industrial Goods and Services
HMX1R,HansaMatrix,LV0000101590,EUR,RIG,Baltic Main List,9.15283,9.15,9.2,9.15,9.15,9.15,,9,9.15,6,106,970.2,Technology,Technology
IGN1L,Ignitis grupė,LT0000115768,EUR,VLN,Baltic Main List,21.2095,21.1,21.6,21.05,21,21.45,2.14,21.45,21.45,277,20514,435092,Utilities,Utilities
INC1L,INVL Technology,LT0000128860,EUR,VLN,Baltic Secondary List,2.12742,2.12,2.14,2.12,2.12,2.12,,2.1,2.14,8,1658,3527.26,Financials,Financial Services
INL1L,INVL Baltic Farmland,LT0000128753,EUR,VLN,Baltic Secondary List,5.09917,5.05,5.1,5.05,5.1,5.1,,5.1,5.2,2,121,617,Real Estate,Real Estate
INR1L,INVL Baltic Real Estate,LT0000127151,EUR,VLN,Baltic Secondary List,2.26,2.26,2.26,2.26,2.26,2.26,,2.24,2.26,3,523,1181.98,Real Estate,Real Estate
IVL1L,Invalda INVL,LT0000102279,EUR,VLN,Baltic Secondary List,7.91507,8,8,7.9,8,7.95,-0.62,7.9,7.95,9,375,2968.15,Financials,Financial Services
K2LT,K2 LT,LT0000129009,EUR,VLN,First North Baltic Share List,30,30,30,30,29.6,30,1.35,29,29.8,1,1,30,Consumer Discretionary,Consumer Products and Services
KA11R,"Likvidējamā AS ""Kurzemes atslēga 1""",LV0000100402,EUR,RIG,Baltic Secondary List,0.67,0.67,0.67,0.67,0.67,0.67,,0.63,0.67,3,28,18.76,Consumer Discretionary,Consumer Products and Services
KNF1L,Klaipėdos nafta,LT0000111650,EUR,VLN,Baltic Main List,0.319415,0.319,0.32,0.318,0.319,0.32,0.31,0.319,0.32,93,132892,42447.7,Industrials,Industrial Goods and Services
KNR1L,Kauno energija,LT0000123010,EUR,VLN,Baltic Secondary List,0.817689,0.81,0.83,0.8,0.83,0.83,,0.815,0.83,6,450,367.96,Utilities,Utilities
LGD1L,LITGRID,LT0000128415,EUR,VLN,Baltic Secondary List,0.617106,0.595,0.685,0.595,0.595,0.655,10.08,0.62,0.65,22,11745,7247.91,Utilities,Utilities
LHV1T,LHV Group,EE3100073644,EUR,TLN,Baltic Main List,24.0024,24.4,25,23.3,23.2,23.5,1.29,23.5,23.5,461,27635,663307,Financials,Banks
LINDA,Linda Nektar,EE3100060344,EUR,TLN,First North Baltic Share List,,7.65,,,7.65,7.65,,7.6,7.65,,,,Consumer Staples ,"Food, Beverage and Tobacco "
LJM1R,Latvijas Jūras medicīnas centrs,LV0000100741,EUR,RIG,Baltic Secondary List,9.01957,9,9.4,8.95,9.3,9.4,1.08,8.2,9.35,12,69,622.35,Health Care,Health Care
LNA1L,Linas Agro Group,LT0000128092,EUR,VLN,Baltic Main List,0.717658,0.71,0.725,0.705,0.705,0.725,2.84,0.725,0.725,41,38491,27623.4,Consumer Staples ,"Food, Beverage and Tobacco "
LNS1L,Linas,LT0000100661,EUR,VLN,Baltic Secondary List,0.126324,0.127,0.128,0.12,0.124,0.128,3.23,0.126,0.128,12,5123,647.156,Basic Materials,Basic Resources
MDARA,MADARA Cosmetics,LV0000101624,EUR,RIG,First North Baltic Share List,19.4261,19.4,19.8,19.4,19.4,19.8,2.06,19.4,19.7,23,280,5439.3,Consumer Discretionary,Consumer Products and Services
MRK1T,Merko Ehitus,EE3100098328,EUR,TLN,Baltic Main List,9.99162,9.98,10.05,9.94,9.98,9.96,-0.2,9.96,9.96,93,4143,41395.3,Industrials,Construction and Materials
NCN1T,Nordecon,EE3100039496,EUR,TLN,Baltic Main List,1.09174,1.09,1.1,1.08,1.09,1.1,0.92,1.09,1.1,145,45473,49644.7,Industrials,Construction and Materials
NEOFI,NEO Finance,LT0000132953,EUR,VLN,First North Baltic Share List,2.72,2.72,2.72,2.72,2.74,2.72,-0.73,2.72,2.76,1,700,1904,Financials,Financial Services
NTU1L,Novaturas,LT0000131872,EUR,VLN,Baltic Main List,2.9919,3.02,3.02,2.98,3,2.98,-0.67,2.98,3,60,9397,28114.9,Consumer Discretionary,Travel and Leisure
OLF1R,Olainfarm,LV0000100501,EUR,RIG,Baltic Main List,7.24197,7.26,7.26,7.22,7.26,7.26,,7.24,7.26,44,2543,18416.3,Health Care,Health Care
PKG1T,Pro Kapital Grupp,EE3100006040,EUR,TLN,Baltic Main List,0.700394,0.705,0.705,0.7,0.705,0.7,-0.71,0.7,0.705,14,2388,1672.54,Real Estate,Real Estate
PRF1T,PRFoods,EE3100101031,EUR,TLN,Baltic Main List,0.365789,0.372,0.374,0.362,0.372,0.372,,0.372,0.374,31,8203,3000.57,Consumer Staples ,"Food, Beverage and Tobacco "
PTR1L,Panevėžio statybos trestas,LT0000101446,EUR,VLN,Baltic Main List,0.57341,0.57,0.58,0.565,0.575,0.575,,0.575,0.575,22,8774,5031.1,Industrials,Construction and Materials
PZV1L,Pieno žvaigždės,LT0000111676,EUR,VLN,Baltic Main List,1.38002,1.38,1.4,1.38,1.4,1.4,,1.38,1.4,12,4245,5858.2,Consumer Staples ,"Food, Beverage and Tobacco "
RAR1R,Rīgas autoelektroaparātu rūpnīca,LV0000100881,EUR,RIG,Baltic Secondary List,0.252088,0.26,0.286,0.25,0.288,0.286,-0.69,0.262,0.28,4,113,28.486,Real Estate,Real Estate
RER1R,Rīgas elektromašīnbūves rūpnīca,LV0000101012,EUR,RIG,Baltic Secondary List,7.45,7.45,7.45,7.45,7.45,7.45,,7.35,7.45,1,15,111.75,Industrials,Industrial Goods and Services
RJR1R,Rīgas juvelierizstrādājumu rūpnīca,LV0000100543,EUR,RIG,Baltic Secondary List,0.26936,0.266,0.27,0.266,0.266,0.27,1.5,0.266,0.27,2,125,33.67,Consumer Discretionary,Consumer Products and Services
RKB1R,Rīgas kuģu būvētava,LV0000100378,EUR,RIG,Baltic Secondary List,0.106442,0.107,0.107,0.105,0.107,0.107,,0.107,0.107,31,17822,1897.01,Industrials,Industrial Goods and Services
RSU1L,Rokiškio sūris,LT0000100372,EUR,VLN,Baltic Main List,3.1,3.1,3.1,3.1,3.1,3.1,,3,3.08,2,230,713,Consumer Staples ,"Food, Beverage and Tobacco "
SAB1L,Šiaulių bankas,LT0000102253,EUR,VLN,Baltic Main List,0.541296,0.546,0.548,0.536,0.54,0.542,0.37,0.542,0.542,386,891019,482305,Financials,Banks
SAF1R,SAF Tehnika,LV0000101129,EUR,RIG,Baltic Main List,4.73975,4.74,4.74,4.7,4.74,4.74,,4.72,4.74,10,475,2251.38,Telecommunications,Telecommunications
SAUNA,Saunum Group,EE3100019753,EUR,TLN,First North Baltic Share List,6.89929,6.9,6.9,6.85,6.9,6.88,-0.29,6.88,6.89,24,706,4870.9,Consumer Discretionary,Consumer Products and Services
SCM1R,Siguldas ciltslietu un mākslīgās apsēklošanas stacija,LV0000100600,EUR,RIG,Baltic Secondary List,4.36,4.36,4.36,4.36,4.36,4.36,,3.92,4.36,1,1,4.36,Consumer Staples ,"Food, Beverage and Tobacco "
SFG1T,Silvano Fashion Group,EE3100001751,EUR,TLN,Baltic Main List,1.63868,1.65,1.65,1.625,1.645,1.64,-0.3,1.64,1.64,67,5934,9723.95,Consumer Discretionary,Consumer Products and Services
SKN1T,Nordic Fibreboard,EE3100092503,EUR,TLN,Baltic Secondary List,0.475356,0.484,0.496,0.46,0.486,0.492,1.23,0.458,0.492,29,4370,2077.31,Consumer Discretionary,Consumer Products and Services
SMA1R,PATA Saldus,LV0000101681,EUR,RIG,Baltic Secondary List,,25,,,25,25,,21.8,24,,,,Basic Materials,Basic Resources
SNG1L,Snaigė,LT0000109274,EUR,VLN,Baltic Secondary List,0.221712,0.224,0.226,0.218,0.224,0.224,,0.218,0.224,9,777,172.27,Consumer Discretionary,Consumer Products and Services
TAL1T,Tallink Grupp,EE3100004466,EUR,TLN,Baltic Main List,0.720282,0.716,0.726,0.716,0.716,0.716,,0.716,0.716,371,249458,179680,Consumer Discretionary,Travel and Leisure
TEL1L,Telia Lietuva,LT0000123911,EUR,VLN,Baltic Main List,2.02292,2.01,2.04,2.01,2,2.02,1,2.02,2.02,93,24830,50229.1,Telecommunications,Telecommunications
TKM1T,Tallinna Kaubamaja Grupp,EE0000001105,EUR,TLN,Baltic Main List,9.44226,9.44,9.46,9.42,9.44,9.46,0.21,9.46,9.46,240,7342,69325.1,Consumer Discretionary,Retail
TPD1T,Trigon Property Development,EE3100003443,EUR,TLN,Baltic Secondary List,0.555,0.555,0.555,0.555,0.555,0.555,,0.505,0.555,2,30,16.65,Real Estate,Real Estate
TSM1T,Tallinna Sadam,EE3100021635,EUR,TLN,Baltic Main List,1.82226,1.82,1.83,1.815,1.82,1.83,0.55,1.83,1.83,233,70833,129076,Industrials,Industrial Goods and Services
TVEAT,Tallinna Vesi,EE3100026436,EUR,TLN,Baltic Main List,13.9204,13.95,13.95,13.85,13.9,13.95,0.36,13.95,13.95,86,2613,36374.1,Utilities,Utilities
UTR1L,Utenos trikotažas,LT0000109324,EUR,VLN,Baltic Secondary List,,0.95,,,0.95,0.95,,0.92,0.95,,,,Consumer Discretionary,Consumer Products and Services
VBL1L,Vilniaus baldai,LT0000104267,EUR,VLN,Baltic Secondary List,10.3062,10.3,10.4,10.2,10,10.4,4,10.4,10.7,8,129,1329.5,Consumer Discretionary,Consumer Products and Services
VEF1R,VEF,LV0000101079,EUR,RIG,Baltic Secondary List,,4.2,,,4.2,4.2,,3,4.2,,,,Real Estate,Real Estate
VLP1L,Vilkyškių pieninė,LT0000127508,EUR,VLN,Baltic Main List,2.51832,2.48,2.56,2.48,2.48,2.56,3.23,2.56,2.56,48,14155,35646.9,Consumer Staples ,"Food, Beverage and Tobacco "
VSS1R,Valmieras stikla šķiedra,LV0000100485,EUR,RIG,Baltic Secondary List,1.57,1.57,1.57,1.57,1.57,1.57,,1.55,1.57,2,775,1216.75,Basic Materials,Chemicals
ZMP1L,Žemaitijos pienas,LT0000121865,EUR,VLN,Baltic Secondary List,1.98172,1.94,2,1.94,2,2,,1.96,2.1,12,2721,5392.27,Consumer Staples ,"Food, Beverage and Tobacco "
